Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
287,"A manufacturer produces computers and releases them in shipments of 100.  From a 
shipment of 100, the probability that exactly three computers are defective is twice the 
probability that exactly two computers are defective.  The events that different computers 
are defective are mutually independent. 
 
Calculate the probability that a randomly selected computer is defective.",0.040,0.042,0.058,0.060,0.072
288,"For a pregnant woman, a certain test will give the outcome “not pregnant” with 
probability 0.10.  For a non-pregnant woman, the test will give the outcome “pregnant” 
with probability 0.20.  Of women who take the test, 20% are pregnant. 
 
Calculate the probability that a woman is pregnant, given her test outcome is “pregnant.”",0.10,0.20,0.50,0.53,0.90
289,"An airport owner purchases an insurance policy to offset costs associated with excessive 
amounts of snowfall.  For every full ten inches of snow in excess of 40 inches during the 
winter season, the insurer pays the airport 200 up to a policy maximum of 500. 
 
The following table shows a probability function for the random variable X of winter 
season snowfall, in inches, at the airport. 
 
Inches of Snowfall (x) 
p(x) 
0
20
x
≤
<
 
0.06 
20
30
x
≤
<
 
0.18 
30
40
x
≤
<
 
0.26 
40
50
x
≤
<
 
0.22 
50
60
x
≤
<
 
0.14 
60
70
x
≤
<
 
0.06 
70
80
x
≤
<
 
0.04 
80
90
x
≤
<
 
0.04 
90
x
≤
 
0.00 
 
Calculate the standard deviation of the amount paid under the policy.",163.5,187.6,208.7,234.9,336.6
290,"Let 
1
100
,
,
X
X

 be independent identically distributed random variables such that  
[
0]
[
2]
0.5
P X
P X
=
=
=
=
. Let 
1
100
S
X
X
=
+
+

. 
 
Calculate the approximate value of P[S >115].",0.005,0.067,0.144,0.147,0.440
291,"Let X and Y be discrete random variables with joint probability function 
 






=
=
=
=
=
=
=
=
=
.1
,1
for
,
375
.0
1
,0
for 
,
125
.0
0
,1
for
,
250
.0
0
,0
for 
,
250
.0
)
,
(
y
x
y
x
y
x
y
x
y
x
p
 
 
Calculate Corr (X, Y), the correlation coefficient of X and Y.",0.06,0.23,0.26,0.38,0.63
292,"Let X and Y be discrete random variables with joint probability function 
 



=
=
=
otherwise.
,0
,
..
,.
0
and
5,
...,1,0
for
,
21
1
)
,
(
x
y
x
y
x
p
 
 
Calculate the variance of Y.",1.67,2.22,3.33,5.00,5.56
293,"A company provides disability benefits to its employees.  There are only two possible 
benefits:  partial disability, costing the company 40, and total disability, costing the 
company 200.  The company employs a number of married couples. 
 
 Let (X,Y) denote the company's disability costs for a randomly selected employed 
married couple.  The joint probability function for (X,Y) is:  
 
 
 
x 
 
 
p(x,y) 
0 
40 
200 
 
0 
0.9729 
0.0100 
0.0020 
y 
40 
0.0100 
0.0020 
0.0005 
 
200 
0.0020 
0.0005 
0.0001 
 
 Calculate the standard deviation of the total disability cost X + Y for the married couple.",12.3,13.8,15.7,16.6,19.8
294,"The probability that the economy will improve, remain stable, or decline is: 
 
State of the Economy 
Probability 
Improve 
0.30 
Remain stable 
0.50 
Decline 
0.20 
 
 
Prices for Stock X and Stock Y will change as follows: 
 
State of the Economy 
Stock X 
Stock Y 
Improve 
Increase 18% 
Increase 15% 
Remain stable 
Increase 8% 
Increase 7% 
Decline 
Decrease 13% 
Decrease 6% 
 
Determine which of the following statements about the percentage price changes for 
Stock X and Stock Y is true.",The,The,The,The,Both
295,"A company is marketing an investment opportunity to four potential customers.  The 
company believes that its probability of making a sale is 0.5 for each of the first three 
customers but that it is only 0.1 for the fourth customer.  The customers' purchases are 
independent of one another. 
 
Calculate the probability that at most two customers purchase the investment.",0.38,0.46,0.54,0.84,0.90
296,"An actuary compiles the following information about a portfolio of life insurance 
policies: 
i) 
There are 150 more policies on males than there are on females. 
ii) 
There are 100 more policies on female nonsmokers than there are on male 
nonsmokers. 
iii) 
There are 350 policies on smokers. 
 
Calculate the number of policies on female smokers within this portfolio.",50,100,200,250,300
297,"The lifetime of a machine part has a continuous distribution on the interval (0, 40) with 
probability density function f, where f (x) is proportional to (10 + x)−2. 
 
 
Calculate the probability that the lifetime of the machine part is less than five.",0.03,0.13,0.42,0.58,0.97
298,"The claim, X, for a dental insurance policy is a random variable with the following 
probability function: 
x 
P[X = x] 
0 
0.5 
1 
0.2 
2 
0.3 
 
 The premium for the policy is equal to 125% of the expected claim amount. 
 
 Calculate the approximate probability that the total claims on 76 independent policies 
exceed the total premium collected.",0.02,0.07,0.17,0.25,0.40
299,"An insurance company categorizes its policyholders into three mutually exclusive groups.  
A study produced the following information: 
 
 
 
Group 
 
Number of 
policyholders 
Probability a 
policyholder 
has no claims 
A 
B 
C 
20,000 
45,000 
35,000 
70% 
90% 
50% 
 
Within each group, the numbers of claims made by individual policyholders are mutually 
independent Poisson random variables. 
 
Calculate the expected total number of claims, in thousands, made by the 100,000 
policyholders.",21,28,36,64,72
300,"A group of insurance policies have all been in force for at least three years.  The 
insurance company plans to pay a dividend on each policy in the group that had no more 
than one claim incurred on it in the past three years. The number of claims incurred on a 
policy in any year follows a Poisson distribution with mean 0.288 and the number 
incurred in any year is independent of the number incurred in any other year. 
 
Calculate the probability that a policy chosen at random from the group will receive a 
dividend.",0.01,0.36,0.42,0.54,0.79
301,"An insurance company sells a one-year insurance policy that covers fire and theft losses.  
The variance of the number of fire losses is 5.  The variance of the number of theft 
losses is 8.  The covariance between the number of fire and theft losses is 3. 
 
Calculate the variance of the total number of fire and theft losses covered by this policy.",7,10,13,16,19
302,"The number of automobile accidents on any day in a city has a Poisson distribution with 
mean 4.  The number of accidents on a given day is independent of the number of 
accidents on any other day. 
 
Calculate the probability that at most one accident occurs in a three-day period.","12
13e−","12
72e−","12
85e−","4
5e−","4
13e−"
303,"An experiment consists of tossing three fair coins and is deemed a success if the result is 
three heads or three tails.  The experiment is repeated until a success occurs. 
 
Calculate the probability that it takes exactly three experiments to obtain a success.",0.047,0.070,0.141,0.188,0.422
304,"Companies P, Q, and R use routes that take their trucks through a common inspection 
checkpoint each day.  The number of trucks for each company that pass the checkpoint 
each day is as follows: 
 
 
Company 
Number 
of Trucks 
P 
Q 
R 
4 
3 
2 
Total 
9 
 
Calculate the probability that at least one of two randomly chosen trucks  
is from Company P.",0.28,0.31,0.56,0.69,0.72
305,"A company administers a typing test to screen applicants for a secretarial position.  In 
order to pass the test, an applicant must complete the test in 50 minutes with no more 
than one error.  Historical data reveals the following about the population of applicants: 
i) 
The number of test errors follows a Poisson distribution with mean 3. 
ii) 
The time required to complete the test follows a normal distribution with mean 45 
and standard deviation 10. 
iii) 
The number of errors and the time required to complete the test are independent. 
 
Calculate the probability that an applicant chosen at random will pass the test.",0.10,0.14,0.19,0.84,0.89
306,"An insurance company sells 40% of its renters policies to home renters and the remaining 
60% to apartment renters.  Among home renters, the time from policy purchase until 
policy cancellation has an exponential distribution with mean 4 years, and among 
apartment renters, it has an exponential distribution with mean 2 years. 
 
Calculate the probability that the policyholder is a home renter, given that a renter still 
has a policy one year after purchase.",0.08,0.27,0.46,0.56,0.66
307,"A company sells insurance policies for which benefit payments made to each 
policyholder are independently and identically normally distributed with mean 2475 and 
standard deviation 250. 
 
Calculate the minimum number of policies that must be sold for there to be at least a 99% 
probability that the average benefit paid per policy will be no greater than 2500.",24,542,664,5815,6440
308,"A life insurance policy pays 1000 upon the death of a policyholder provided that the 
policyholder survives at least one year but less than five years after purchasing the policy. 
 
Let X denote the number of years that a policyholder survives after purchasing the policy 
with the following probabilities: 
 
x 
P[X < x] 
1 
0.05 
2 
0.12 
3 
0.21 
4 
0.33 
5 
0.48 
 
Calculate the standard deviation of the payment made under this policy.",218,430,480,495,500
309,"An insurer divides a city into three zones and assesses risks associated with fire loss as 
follows: 
 
 
Zone 
Probability of fire 
loss for a home 
in a given year 
Percentage of 
insurer’s fire 
policies 
A 
B 
C 
0.015 
0.011 
0.008 
40% 
35% 
25% 
 
Given that a fire loss occurs in a home covered by the insurer, calculate the probability 
that the home is in Zone A.",0.349,0.400,0.441,0.465,0.506
310,"An insurer offers policies for which insured loss amounts follow a distribution with 
density function 
( )



<
<
=
otherwise.
      
,0
10
0
for
  ,
50
x
x
x
f
 
Customers may choose one of two policies.  Policy 1 has no deductible and a limit of 4, 
while Policy 2 has a deductible of 4 and no limit. 
 
Given the occurrence of an insured loss, calculate the absolute value of the difference 
between the insurer’s expected claim payments under Policies 1 and 2.",0.32,0.64,0.79,0.91,1.12
311,"Employees of a large company all choose one of three levels of health insurance 
coverage, for which premiums, denoted by 
,
X  are 1, 2, and 3, respectively.  Premiums 
are subject to a discount, denoted by 
,
Y  of 0 for smokers and 1 for non-smokers.  The 
joint probability function of X  and Y  is given by 
 
(
)



=
=
+
=
otherwise.
      
,0
1
,0
and
3
,2
,1
for
  ,
31
,
2
2
y
x
y
x
y
x
p
 
 
Calculate the variance of X
Y
−
, the total premium paid by a randomly chosen employee.",0.20,0.69,0.74,1.90,2.65
312,"An actuary determines the following regarding an individual auto policyholder: 
 
i) 
The probability that the auto policyholder will file a medical claim is 0.30. 
 
ii) 
The probability that the auto policyholder will file a property claim is 0.42. 
 
iii) 
The probability that the auto policyholder will file a medical claim or a property 
claim is 0.60. 
 
Calculate the probability that the auto policyholder will file exactly one type of claim, 
given that the policyholder will not file both types of claims.",0.45,0.48,0.52,0.55,0.60
313,"The probability that a homeowners policyholder reports a property claim in a year 
increases by 25% per year.  Conversely, the probability that a homeowners policyholder 
reports a liability claim in a year decreases by 25% per year. 
 
The probability that a homeowners policyholder reports both a property claim and a 
liability claim in Year 1 is 0.01.  The event that a homeowners policyholder reports a 
property claim is independent of the event that the policyholder reports a liability claim. 
 
Calculate the probability that a homeowners policyholder reports both a property claim 
and a liability claim in Year 9.",0.005,0.006,0.010,0.014,0.015
314,"An auto insurance company tracks the experience of its first-year and multi-year 
policyholders separately.  First-year policyholders account for 15% of the company's 
business while multi-year policyholders account for the rest. 
 
The number of claims reported to the company in a year by a first-year policyholder 
follows a Poisson distribution with mean 0.50, while the number of claims reported to the 
company in a year by a multi-year policyholder follows a Poisson distribution with mean 
0.20.  
 
Calculate the probability that a policyholder is a first-year policyholder, given that the 
policyholder reports at least one claim in a year to the company.",0.246,0.277,0.306,0.476,0.685
315,"The random variable 
1
1
X
e
Y =
characterizes an insurer's annual property losses, where 
1
X  is 
normally distributed with mean 16 and standard deviation 1.50.  Similarly, the random variable 
2
2
X
e
Y =
characterizes the insurer's annual liability losses, where 
2
X  is normally distributed 
with mean 15 and standard deviation 2. 
 
The insurer's annual property losses are independent of its annual liability losses.  
 
Calculate the probability that, in a given year, the minimum of the insurer's property losses 
and liability losses exceeds e16.",0.126,0.154,0.250,0.309,0.346
316,"A health insurance company classifies applicants, depending on their health, into one of 
three categories:  A, B, or C. 
 
The following probabilities apply: 
 
i) 
P[A] = 5P[C] 
ii) 
P[B] = 4P[C] 
iii) 
P[ zero claims | A] = 0.1 
iv) 
P[ zero claims | B] = 0.2 
v) 
P[ zero claims | C] = 0.4 
 
Calculate the probability that an insured was classified in category C, given that the 
insured had zero claims.",0.040,0.170,0.235,0.294,0.471
317,"A five-year term insurance policy pays 25,000 if the insured dies in the first year.  The 
benefit declines by 5000 per year for each of the next four years.  In each of the five years 
covered by the policy, the probability of dying is 0.01, given that the insured is alive at 
the beginning of that year. 
 
Calculate the expected benefit the insurance company will pay during the five-year term.",692,740,750,985,1225
318,"Data on a certain pregnancy test show that a pregnant woman will test negative or not 
pregnant 10% of the time, while a non-pregnant woman will test positive 20% of the 
time.   
 
Thirty percent of the women who take the test are pregnant. 
 
Calculate the probability that a woman is pregnant given that her test outcome is positive.",0.18,0.30,0.66,0.82,0.90
319,"A company is marketing an investment opportunity to four potential customers.  The 
company believes that its probability of making a sale is 0.7 for each of the first three 
customers but that it is only 0.2 for the fourth customer.  The customers' purchases are 
independent of one another. 
 
Calculate the probability that at most two customers purchase the investment.",0.18,0.39,0.57,0.71,0.82
320,"An actuary compiles a sample of 100 auto insurance claims.  The sizes of these sampled 
claims are independently and identically distributed with mean 1000 and standard 
deviation 400. 
 
Calculate the approximate probability that the sum of the sizes of the 100 claims is less 
than 92,000.",0.023,0.050,0.421,0.579,0.977
321,"A business manufactures light bulbs and sells them in boxes of 50.  Let p denote the 
probability that a light bulb is defective.  The events that different light bulbs are 
defective are mutually independent. 
 
Let X denote the number of non-defective light bulbs in a box of 50.  In addition, let n be 
an integer such that P[
]
95
.
0
≥
≥n
X
. 
 
Determine which one of the following statements must be true.","95
.0
)
1(
)!
50
(!
!
50
50
50
≥
−




−
−
=∑
k
k
n
k
p
p
k
k","95
.0
)
1(
)!
50
(!
!
50
50
0
≥
−




−
−
=∑
k
k
n
k
p
p
k
k","95
.0
)
1(
)!
50
(!
!
50
50
50
1
≥
−




−
−
+
=∑
k
k
n
k
p
p
k
k","95
.0
)
1(
)!
50
(!
!
50
50
0
≥
−




−
−
=∑
k
k
n
k
p
p
k
k","95
.0
)
1(
)!
50
(!
!
50
50
50
≥
−




−
−
=∑
k
k
n
k
p
p
k
k
"
322,"A fair die is rolled until three sixes are obtained.  Let the random variable X be the total 
number of rolls required. 
 
Calculate Var (X).",5/12,18/25,15,30,90
323,"A broker markets four separate products.  The probabilities of selling these products to a 
client follow: 
 
Product 
Probability 
Auto insurance 
Homeowners insurance 
Health insurance 
Life insurance 
     0.45 
     0.55 
     0.60 
     0.60 
 
The sales of these products are mutually independent. 
 
Calculate the probability that the broker sells more than two products to a client.",0.24,0.30,0.39,0.61,0.76
324,"An actuary determines that the daily auto accident count within a city can be modeled by 
a Poisson random variable with mean 4.  In addition, the accident counts on different 
days are mutually independent. 
 
Calculate the approximate probability that at least 6496 accidents occur during a period 
of 1600 days.",0.01,0.12,0.19,0.27,0.49
325,"A company sponsors health insurance, life insurance, and retirement plans for its 
employees.  Each employee selects one of two participation options: 
 
i) 
participate in exactly two plans at the company’s expense 
ii) 
participate in none of the plans and receive a cash lump sum payment instead 
 
Employee participation levels in each plan follow: 
 
i) 
62.5% of employees participate in the health insurance plan. 
ii) 
37.5% of employees participate in the life insurance plan. 
iii) 
50.0% of employees participate in the retirement plan. 
 
Calculate the percentage of employees who participate in both the life insurance and 
retirement plans.",12.5%,25.0%,37.5%,50.0%,62.5%
326,"The monthly commission that an agent earns is modeled by a random variable X with 
probability density function 
 






>
=
−
otherwise.
,
0
0
for
,
20
1
)
(
20
x
e
x
f
x
 
 
Calculate the probability that the commission the agent earns in a month is within 0.5 
standard deviations of E(X).",0.34,0.38,0.50,0.68,0.95
327,"Individual burglary claim amounts covered by policies of an insurance company are 
normally distributed with mean 2500 and standard deviation 500. 
 
The probability that the mean of a random sample of 100 claims will exceed K is 0.01. 
 
Calculate K.",2505,2512,2616,3663,4950
328,"The operating cost of a new claims system is modeled by a random variable X with 
variance 50.  In its second year of use, inflation of 3% and an additional fixed 
maintenance cost of 2.5 increase the operating cost of the system. 
 
Calculate the variance of the operating cost of the claims system in its second year of use.",52,53,54,56,59
329,"A geneticist compiled the following information:  
 
i) 
1/2 of children who have two left-handed parents are left-handed. 
ii) 
1/6 of children who have exactly one left-handed parent are left-handed. 
iii) 
1/16 of children who have no left-handed parents are left-handed. 
iv) 
1/50 of children have two left-handed parents. 
v) 
1/5 of children have exactly one left-handed parent.  
 
Calculate the probability that a randomly selected left-handed child has no left-handed 
parents.",0.09,0.42,0.53,0.78,0.91
330,"The sales for a product can be modeled by Z = 4X – Y – 3.  X and Y are independent 
random variables with Var (X) = 2 and Var (Y) = 3. 
 
Calculate Var (Z).",5,11,29,32,35
331,"According to a survey, x% of respondents have health insurance, y% have disability 
income insurance, and z% have only health insurance. 
 
Calculate the probability that a randomly selected respondent has only disability income 
insurance.","100
z
x
y
+
−","100
z
x
y
−
−","100
2z
x
y
−
−","200
2z
x
y
+
−","100
z
y"
332,"Three fair dice are thrown. 
 
Calculate the probability that the same number appears on exactly two of the three dice.",0.278,0.417,0.444,0.556,0.583
333,"A group of 17 people in a study on lung cancer consists of three heavy smokers, four 
light smokers, and ten non-smokers.  Six people from the group are chosen at random for 
a new treatment. 
 
Calculate the probability that three of those chosen are non-smokers.",0.176,0.284,0.300,0.339,0.588
334,"A group of health insurance policyholders is composed of 60% men and 40% women.  Of 
the male policyholders, 20% are smokers.  Given that a policyholder from the group 
smokes, the probability that the policyholder is female is 20%. 
 
Calculate the percentage of female policyholders who are smokers.",7.50%,8.00%,12.00%,13.33%,20.00%
335,"An inspector examines a random sample of three glasses from each incoming box  of ten 
glasses.  The inspector accepts the box of ten glasses if at least two of the three examined 
are found to be in good condition. 
 
Calculate the probability that a box of ten glasses will be accepted by the inspector if the 
box contains exactly two glasses that are not in good condition.",0.10,0.47,0.70,0.90,0.93
336,"Losses under an insurance policy are uniformly distributed on the interval [0, 100].  A 
deductible is set so that the expected claim payment of losses net of the deductible is 32.   
 
Calculate the deductible.",9,18,20,36,52
337,"An insurance policy has a deductible of 3.  Losses under the policy are exponentially 
distributed with mean 10. 
 
Calculate the expected claim payment of losses net of the deductible.",2.59,5.19,7.00,7.41,9.63
338,"The table below shows the joint probability for the number of root canals and the number 
of fillings a dental patient undergoes this year. 
 
 
Number of Fillings 
 
 
 
Numb
er of 
Root 
Canal
s 
 
 
   0 
   1 
  2 
   3 
  4 
 
0 
00.
40 
00.
26 
00.
05 
00.
04 
00.
01 
 
1 
00.
04 
00.
03 
00.
03 
00.
03 
00.
02 
 
2 
00.
01 
00.
01 
00.
02 
00.
03 
00.
02 
 
Calculate the expected number of root canals the patient undergoes, given that the patient 
undergoes at most one filling this year.",0.11,0.15,0.17,0.33,0.91
339,"Let N denote the number of items returned out of the next 500 items sold at a department 
store.  For each item sold, the probability that the item is returned is 0.12.  Returns are 
mutually independent. 
 
Calculate the standard deviation of N.",7.27,7.75,12.75,20.98,52.80
340,"An insurance company has a large number of claims pending. The amount, X, of an 
individual pending claim is assumed to follow a distribution with density function 
 





>
=
otherwise.
,0
1
for
,
2
)
(
3
x
x
x
f
 
 
Calculate the probability that the amount of a randomly selected pending claim is less 
than 4, given that it is at least 3.",0.04,0.05,0.06,0.11,0.44
341,"The time to death of a 70-year-old person is modeled by a random variable X with 
probability density function 
 



<
<
+
=
otherwise,
,
0
30
0
for
,
)
5
(
)
(
2
x
x
k
x
f
 
 
where k is a constant. 
 
Calculate the probability the man will live five years and then die during the following 
five years.",0.004,0.194,0.333,0.583,0.778
342,"Let X be a Poisson random variable with cumulative distribution function F such that 
 
6.2
)1(
)
2
(
=
F
F
. 
 
Calculate E (X).",3.2,4.0,4.2,5.0,5.2
343,"Let X represent the number of defective parts in a shipment of five parts. 
 
1
1
[
]
1
,
1,2,3,4,5
2
5
x
P X
x
x


−
≥
=
−
=






 
 
Calculate E(X).",0.9,1.1,2.1,2.3,3.9
344,"Let X be a random variable with probability density function  
 
 
 
otherwise.
 
1
0
for 
0,
,
2
)
(
<
<



=
x
x
x
f
 
 
A sample of size 3 is randomly selected from the distribution.  Let Y be a random variable 
representing the median value from the sample.   
 
Calculate the variance of Y.",0.019,0.030,0.056,0.500,0.714
345,"An actuary wishes to predict the size W of a claim using a predictor T.  Suppose that W 
and T are independent and normally distributed with the same mean and with variances 4 
and 12, respectively. 
 
Calculate [|
| 1].
P W
T
−
<",0.20,0.23,0.38,0.60,0.68
346,"A, B, and C are three events defined on the same sample space.  A and C are mutually 
exclusive and B and C are mutually exclusive.  The probability that at least one of the 
three events occurs is 0.90.  The probability that exactly two of the three events occur is 
0.06.  The probability that exactly one of the events A or B occurs is 0.38. 
 
Calculate P[C].",0.32,0.46,0.52,0.56,0.58
347,"Let X = 1 if termites are present in a building and X = 0 if they are not.   
Let Y = 1 if a test indicates the presence of termites in that building and Y = 0 if it does 
not.   
The joint probabilities of X and Y are: 
 
 
 
P[X=0, Y=0] = 0.90 
 
 
P[X=1, Y=0] = 0.01 
 
 
P[X=0, Y=1] = 0.05 
 
 
P[X=1, Y=1] = 0.04 
 
Calculate the coefficient of variation for Y.",0.31,0.91,0.95,3.18,4.36
348,"A policyholder incurs one loss under each of three policies.  Each policy has a deductible 
of 30.  Losses under each policy are uniformly distributed on the interval [0, 100]. 
 
The three losses are mutually independent. 
 
Calculate the probability that the policyholder will receive benefits from any of the three 
policies.",0.027,0.343,0.657,0.700,0.973
349,"Each student in a group will take an exam in January and another in February.  While 
70% of the students will pass the January exam, only 50% will pass the February exam.  
Students who pass the January exam are twice as likely to pass the February exam as 
those who fail the January exam. 
 
Calculate the probability that a randomly selected student will pass both exams.",0.35,0.41,0.45,0.50,0.59
350,"A homeowner with theft insurance experiences exactly one theft this year.  Loss due to 
theft is exponentially distributed with mean 2000.  The insurer covers the loss due to theft 
up to a maximum of 3000. 
 
Calculate the probability that the insurer will pay the homeowner exactly 3000 for the 
loss due to theft.",0.000,0.223,0.487,0.513,0.777
351,"In a group of four employees, two are high-risk and two are low-risk.  This year, each 
high-risk employee has probability 0.6 of having no accidents; each low-risk employee 
has probability 0.9 of having no accidents.   
 
The occurrences of accidents among employees are independent events. 
 
Calculate the probability that at most one employee has one or more accidents this year.",0.4536,0.5184,0.6804,0.7084,0.7452
352,"A homeowner purchases flood insurance that pays a benefit based on the amount of rain 
that falls. No benefit is paid for rainfall amounts less than twelve inches.  For every full 
two inches greater than twelve, the insurer pays the homeowner 5000, with a maximum 
payment of 18,000. 
 
 The following table displays probabilities for the rainfall amounts. 
 
 
Inches of Rain (x) 
       Probability of being in interval 
    
x
x
x
x
x
x
x
x
x
x
x
≤
<
≤
<
≤
<
≤
<
≤
<
≤
<
≤
<
≤
<
≤
<
≤
<
≤
20
20
18
18
16
16
14
14
12
12
10
10
8
8
6
6
4
4
2
2
0
  
 
 
04
.0
07
.0
08
.0
11
.0
18
.0
14
.0
12
.0
09
.0
07
.0
06
.0
04
.0
 
 
Calculate the standard deviation of the benefit paid under the policy.",2201,3120,3200,5452,5680
353,"A community college provides life insurance to its employees. The amount of insurance, 
X, of a randomly selected employee is modeled by a distribution with density function 
 
 
 
 
( )



>
=
otherwise,
    
,0
2
for
  ,
3
8
x
x
x
f
 
where X is measured in tens of thousands. 
 
Calculate the probability that an employee is insured for no more than 30,000, given that 
the employee is insured for at least 25,000.",0.20,0.31,0.44,0.64,0.69
354,"An insurance company insures male and female drivers.  The probability that a randomly 
selected insured driver is male and has an accident is 0.30.  The probability of an insured 
male driver having an accident is 0.50. 
 
Calculate the probability that a randomly selected insured driver is female.",0.15,0.40,0.50,0.60,0.85
355,"The number of calls received by a certain emergency unit in a day is modeled by a 
Poisson distribution with a standard deviation of 2.  
 
Calculate the probability that on a particular day the unit receives at least two calls.",0.092,0.147,0.238,0.762,0.908
356,"A scientist plans to repeat an experiment until a successful result is achieved.  On each 
trial the probability of a successful result is 0.25.  The outcomes of the trials are mutually 
independent.  
 
Calculate the probability that more than three trials are needed to get a successful result.",0.105,0.141,0.422,0.578,0.684
357,"A fair die is rolled repeatedly.  Let X be the number of rolls needed to obtain a 5 and Y 
the number of rolls needed to obtain a 6. 
 
Calculate 
)1
(
E
=
Y
X
.",5.0,5.5,6.0,6.5,7.0
358,"The annual number of accidents for a driver is modeled by a Poisson distribution with 
mean 2.5. 
 
Calculate the mode of the annual number of accidents.",1.0,1.5,2.0,2.5,3.0
359,"Every member of a certain committee is either an X or aY. 
 
 
Thirty percent of the Xs on the committee are male.  Forty percent of the Ys on the 
committee are female.  Sixty percent of the committee members are Ys.  A randomly 
selected member of the committee is male. 
 
Calculate the probability that he is a Y.",0.36,0.48,0.60,0.67,0.75
360,"An insurance company surcharges a driver, based on the year of the driver’s last accident, 
using the following table with the current year denoted by t:  
 
Year of Last 
Accident 
t–1 
t–2 
t–3 
t–4 
Surcharge 
20% 
15% 
10% 
5% 
 
The probability that a driver has at least one accident in any given year is 0.10, 
independent of the number of accidents in all other years. 
 
Calculate the expected surcharge in year t for a driver who has been driving since the 
beginning of year t – 4.",4.5%,5.0%,8.6%,10.0%,19.4%
361,"Auto accidents for an individual driver can result in annual losses of 0, 1000, 5000, 
10,000, or 15,000 with probabilities 0.75, 0.12, 0.08, 0.04, and 0.01, respectively.  An 
auto insurer offers a policy that insures individual drivers against such losses, subject to 
an annual deductible of 500. 
 
The insurer charges an annual premium that exceeds its expected annual payment by 75 
to provide for insurer expenses and profit. 
 
Calculate the annual premium that the insurer charges.",870,945,1020,1070,1145
362,"At a certain airport, 1/6 of all scheduled flights are delayed.  Assume that flight delays are 
mutually independent events. 
 
Use the normal approximation (with continuity correction) to calculate the probability 
that at least 40 of the next 180 flights are delayed.",0.011,0.014,0.018,0.023,0.029
363,"In a group of 30,000 health insurance policyholders, 12,000 are in Class A and 18,000 are 
in Class B.   
 
This year, each policyholder in Class A has probability 0.98 of not undergoing 
hospitalization; each policyholder in Class B has probability 0.995 of not undergoing 
hospitalization. 
 
A randomly chosen policyholder in the group undergoes hospitalization this year. 
 
Calculate the probability that this policyholder is in Class A.",0.011,0.020,0.396,0.400,0.727
364,"A two-part machine functions when at least one of its parts is working.  Both parts are 
working today.  The future lifetime of each part is exponentially distributed with mean 
five years.  The lifetimes of the parts are independent.   
 
The machine functions one year from now.  
 
Calculate the probability that both parts will be working at that time.",0.003,0.409,0.670,0.693,0.819
365,"This year, a dental insurance policyholder has probability 0.70 of having no fillings, 
probability 0.90 of having no root canals, and probability 0.35 of having at least one 
filling or root canal.   
 
Calculate the probability that a policyholder has no root canals, given that the 
policyholder has no fillings.",0.50,0.65,0.72,0.78,0.93
366,"A mover transports ten identical boxes with fragile contents.  The contents of seven of 
these boxes all stay intact after the move.   
 
The mover randomly chooses five different boxes from the ten to inspect.  
 
Calculate the probability that the contents of exactly three of these five boxes are all 
intact.",0.042,0.083,0.139,0.417,0.700
367,"A study is to be conducted on health risk factors of insurance applicants.  The study 
needs exactly 268 people with heart disease, 268 with diabetes and 268 with high 
cholesterol.  The study also needs exactly 68 people with only heart disease, 68 with only 
diabetes and 68 with only high cholesterol.  The study needs exactly 84 people with all 
three risk factors and 155 people with no risk factors. 
 
Calculate the total number of people the study needs.",443,462,617,636,791
368,"In a population under study it is known that 40% are smokers or have below normal lung 
function.  Among the 25% of the population that smoke 70% have below normal lung 
function.   
 
Calculate the percentage of the population that have below normal lung function.",15%,20%,33%,55%,60%
369,"The death of a husband and the death of his wife are independent events.  The probability 
that the husband dies during the next two years is 0.10.  The probability that both the 
husband and the wife survive the next two years is 0.70. 
 
Calculate the probability that the wife dies within the next two years.",0.100,0.118,0.143,0.200,0.222
370,"Small businesses in a particular city are categorized as retail, service, transportation, or 
other.   
 
In a study of the yearly bankruptcies of small businesses in this city, the following 
information from the past year was observed: 
 
i) 
60% of the small businesses were retail, and of those, 12% went bankrupt. 
ii) 
25% of the small businesses were service, and of those, 8% went bankrupt. 
iii) 
10% of the small businesses were transportation, and of those, 6% went bankrupt. 
iv) 
5% of the small businesses were other, and none of those went bankrupt. 
 
An auditor randomly selected a small business that went bankrupt last year.   
 
Calculate the probability that it was a service business.",0.020,0.080,0.204,0.250,0.308
371,"A random variable X is normally distributed with mean 5 and standard deviation 2. 
 
Calculate the probability that 
2
8
1.
X
X
−
<",0.007,0.076,0.082,0.917,0.925
372,"For which of the exponential, normal, and continuous uniform distributions does 
doubling the mean also double the median?",all,all,all,all,fewer
373,"In a particular contract, there are two options available for each of two sections A and B.  
If X is the number of options selected for section A and Y is the number of options 
selected for section B, then the joint probability function of X and Y is  
 
2 ,
for 
0,1, 2 and
0,1, 2
( , )
36
0,
otherwise.
x
y
x
y
p x y
+
+

=
=

= 

 
 
Calculate the variance of X.",0.56,0.64,0.83,2.00,3.36
374,"A random variable X  has density function 
2
4
5
3(
2)
(
2)
4 ,
for 0
3
( )
72
0,
otherwise.
x
x
x
f x



−
−
−
+
<
<



= 

 
Calculate the mode of the distribution.",0.000,0.775,2.000,3.000,The
